class_id,course_code,semester,class_group,lecturer_name
99,CO3013,HK243,L01,Ngô Thanh Lam
100,CO3013,HK243,L02,Võ Phương Khôi
101,CO3013,HK243,L03,Nguyễn Ngọc Duy
102,CO3013,HK243,L04,Hồ Thị Hiếu
103,CO3013,HK243,L05,Ngô Quang Châu
104,CO3013,HK243,L06,Nguyễn Hoàng Hùng
105,CO3013,HK243,L07,Ngô Hữu Duy
106,CO3013,HK243,L08,Hồ Minh Nam
107,CO3015,HK243,L01,Nguyễn Hoàng Hùng
108,CO3015,HK243,L02,Đỗ Anh Minh
109,CO3015,HK243,L03,Nguyễn Ngọc Hải
110,CO3015,HK243,L04,Nguyễn Quốc Tuấn
111,CO3015,HK243,L05,Võ Khánh Việt
112,CO3017,HK243,L01,Hồ Thị Hiếu
113,CO3017,HK243,L02,Đỗ Tuấn Linh
114,CO3017,HK243,L03,Lê Anh Thảo
115,CO3017,HK243,L04,Đặng Đức Châu
116,CO3017,HK243,L05,Hồ Anh Quang
117,CO3017,HK243,L06,Bùi Minh Minh
118,CO3017,HK243,L07,Lý Hoàng Duy
119,CO3017,HK243,L08,Bùi Quang Hà
120,CO3017,HK243,L09,Vũ Quốc Châu
121,CO3017,HK243,L10,Đỗ Anh Minh
122,CO3021,HK243,L01,Ngô Thị Yến
123,CO3021,HK243,L02,Bùi Quang Khôi
124,CO3021,HK243,L03,Dương Anh An
125,CO3021,HK243,L04,Dương Thị Phúc
126,CO3023,HK243,L01,Lý Đức Khôi
127,CO3023,HK243,L02,Bùi Anh Hiếu
128,CO3023,HK243,L03,Vũ Quốc Châu
129,CO3023,HK243,L04,Lý Gia Lam
130,CO3027,HK243,L01,Nguyễn Ngọc Duy
131,CO3027,HK243,L02,Lý Anh Quân
132,CO3027,HK243,L03,Đỗ Thanh Châu
133,CO3027,HK243,L04,Bùi Quang Hà
134,CO3027,HK243,L05,Bùi Quang Khôi
135,CO3027,HK243,L06,Dương Minh Tuấn
136,CO3027,HK243,L07,Lý Hoàng Duy
137,CO3027,HK243,L08,Đỗ Hữu Phát
138,CO3027,HK243,L09,Bùi Quang Hà
139,CO3027,HK243,L10,Đỗ Hữu Phát
140,CO3029,HK243,L01,Hồ Anh Quang
141,CO3029,HK243,L02,Đỗ Hữu Quân
142,CO3029,HK243,L03,Bùi Hữu Trinh
143,CO3029,HK243,L04,Vũ Ngọc Linh
144,CO3029,HK243,L05,Dương Đức Khôi
145,CO3031,HK243,L01,Đỗ Hữu Long
146,CO3031,HK243,L02,Trần Minh Hiếu
147,CO3031,HK243,L03,Bùi Quang Hà
148,CO3031,HK243,L04,Lý Gia Lam
149,CO3031,HK243,L05,Lý Khánh Hiếu
150,CO3031,HK243,L06,Đỗ Anh Minh
151,CO3031,HK243,L07,Võ Hữu Mai
152,CO3033,HK243,L01,Phạm Hoàng Trinh
153,CO3033,HK243,L02,Nguyễn Ngọc Hải
154,CO3033,HK243,L03,Hoàng Thị Hiếu
155,CO3033,HK243,L04,Đặng Quang Hải
156,CO3033,HK243,L05,Vũ Ngọc Linh
157,CO3033,HK243,L06,Phan Quốc Trinh
158,CO3033,HK243,L07,Hoàng Thị Hiếu
159,CO3035,HK243,L01,Dương Đức Khôi
160,CO3035,HK243,L02,Hồ Khánh Trinh
161,CO3035,HK243,L03,Phạm Khánh Nam
162,CO3035,HK243,L04,Phạm Ngọc Nam
163,CO3035,HK243,L05,Nguyễn Hoàng Hùng
164,CO3035,HK243,L06,Đỗ Đức Khang
165,CO3035,HK243,L07,Lý Hoàng Duy
166,CO3035,HK243,L08,Lý Hoàng Duy
167,CO3035,HK243,L09,Dương Thị Phúc
168,CO3037,HK243,L01,Huỳnh Quốc Linh
169,CO3037,HK243,L02,Dương Tuấn Tú
170,CO3037,HK243,L03,Lê Thanh Hải
171,CO3037,HK243,L04,Bùi Quang Khôi
172,CO3037,HK243,L05,Hồ Khánh Trinh
173,CO3041,HK243,L01,Bùi Ngọc Anh
174,CO3041,HK243,L02,Nguyễn Anh Trang
175,CO3041,HK243,L03,Lê Đức Nam
176,CO3041,HK243,L04,Dương Tuấn Tú
177,CO3041,HK243,L05,Nguyễn Ngọc Hải
178,CO3041,HK243,L06,Đỗ Minh Trang
179,CO3041,HK243,L07,Hoàng Thị Hiếu
180,CO3043,HK243,L01,Phan Quốc Trinh
181,CO3043,HK243,L02,Lê Đức Nam
182,CO3043,HK243,L03,Võ Quang Hà
183,CO3043,HK243,L04,Lê Hoàng Lam
184,CO3045,HK243,L01,Đặng Quốc Trang
185,CO3045,HK243,L02,Phạm Đức Nhi
186,CO3045,HK243,L03,Vũ Ngọc Linh
187,CO3047,HK243,L01,Hồ Anh Quang
188,CO3047,HK243,L02,Hoàng Thị Hiếu
189,CO3047,HK243,L03,Ngô Quốc An
190,CO3047,HK243,L04,Đặng Quốc Trang
191,CO3047,HK243,L05,Hoàng Khánh Long
192,CO3047,HK243,L06,Hoàng Gia Châu
193,CO3049,HK243,L01,Lê Anh Thảo
194,CO3049,HK243,L02,Dương Anh An
195,CO3049,HK243,L03,Lý Đức Khôi
196,CO3049,HK243,L04,Huỳnh Anh Nam
197,CO3049,HK243,L05,Đặng Gia Hiếu
198,CO3051,HK243,L01,Dương Đức Khôi
199,CO3051,HK243,L02,Hoàng Thị Hiếu
200,CO3051,HK243,L03,Lê Đức Nam
201,CO3057,HK243,L01,Đặng Đức Châu
202,CO3057,HK243,L02,Lê Thanh Hải
203,CO3057,HK243,L03,Ngô Quốc An
204,CO3059,HK243,L01,Trần Tuấn Lam
205,CO3059,HK243,L02,Đỗ Minh Duy
206,CO3059,HK243,L03,Trần Thị Bảo
207,CO3059,HK243,L04,Lý Đức Khôi
208,CO3059,HK243,L05,Võ Gia Nhi
209,CO3061,HK243,L01,Vũ Ngọc Linh
210,CO3061,HK243,L02,Đỗ Hữu Long
211,CO3061,HK243,L03,Đặng Đức Châu
212,CO3065,HK243,L01,Ngô Quang Châu
213,CO3065,HK243,L02,Lê Khánh Minh
214,CO3065,HK243,L03,Ngô Thị Yến
215,CO3065,HK243,L04,Hồ Minh Nam
216,CO3067,HK243,L01,Võ Hữu Mai
217,CO3067,HK243,L02,Đỗ Hữu Long
218,CO3067,HK243,L03,Nguyễn Quốc Tuấn
219,CO3067,HK243,L04,Võ Hữu Mai
220,CO3067,HK243,L05,Ngô Thanh Lam
221,CO3067,HK243,L06,Võ Khánh Việt
222,CO3067,HK243,L07,Hồ Anh Quang
223,CO3067,HK243,L08,Lý Đức Anh
224,CO3067,HK243,L09,Bùi Ngọc Anh
225,CO3067,HK243,L10,Hồ Khánh Trinh
226,CO3069,HK243,L01,Dương Đức Khôi
227,CO3069,HK243,L02,Nguyễn Ngọc Hải
228,CO3069,HK243,L03,Võ Khánh Việt
229,CO3071,HK243,L01,Lý Khánh Hiếu
230,CO3071,HK243,L02,Ngô Hữu Duy
231,CO3071,HK243,L03,Nguyễn Tuấn Tuấn
232,CO3071,HK243,L04,Nguyễn Gia Thảo
233,CO3071,HK243,L05,Đỗ Minh Trang
234,CO3071,HK243,L06,Bùi Ngọc Bảo
235,CO3071,HK243,L07,Hồ Khánh Trinh
236,CO3071,HK243,L08,Huỳnh Anh Nam
237,CO3083,HK243,L01,Phan Văn Trang
238,CO3083,HK243,L02,Nguyễn Thanh Hùng
239,CO3083,HK243,L03,Trần Thị Bảo
240,CO3085,HK243,L01,Nguyễn Gia Thảo
241,CO3085,HK243,L02,Bùi Minh Minh
242,CO3085,HK243,L03,Dương Đức Khôi
243,CO3085,HK243,L04,Lý Khánh Hiếu
244,CO3085,HK243,L05,Bùi Ngọc Bảo
245,CO3085,HK243,L06,Lê Quốc Yến
246,CO3085,HK243,L07,Huỳnh Quốc Linh
247,CO3085,HK243,L08,Lý Gia Lam
248,CO3085,HK243,L09,Phan Quốc Trinh
249,CO3089,HK243,L01,Dương Quang Hà
250,CO3089,HK243,L02,Đặng Đức Châu
251,CO3089,HK243,L03,Võ Gia Nhi
252,CO3093,HK243,L01,Dương Anh An
253,CO3093,HK243,L02,Lê Đức An
254,CO3093,HK243,L03,Nguyễn Tuấn Tuấn
255,CO3093,HK243,L04,Đỗ Anh Minh
256,CO3101,HK243,L01,Nguyễn Quang Tuấn
257,CO3101,HK243,L02,Bùi Anh Trinh
258,CO3101,HK243,L03,Đỗ Minh Duy
259,CO3101,HK243,L04,Ngô Thanh Lam
260,CO3103,HK243,L01,Lê Thanh Hải
261,CO3103,HK243,L02,Lê Ngọc Nhi
262,CO3103,HK243,L03,Đỗ Tuấn Linh
263,CO3103,HK243,L04,Đỗ Thanh Châu
264,CO3105,HK243,L01,Huỳnh Quốc Linh
265,CO3105,HK243,L02,Vũ Ngọc Linh
266,CO3105,HK243,L03,Phan Văn Trang
267,CO3107,HK243,L01,Đỗ Đức Khang
268,CO3107,HK243,L02,Nguyễn Ngọc Duy
269,CO3107,HK243,L03,Lý Đức Khôi
270,CO3107,HK243,L04,Đặng Đức Châu
271,CO3107,HK243,L05,Bùi Quang Khôi
272,CO3109,HK243,L01,Đỗ Minh Duy
273,CO3109,HK243,L02,Phạm Hoàng Trinh
274,CO3109,HK243,L03,Lê Đức An
275,CO3109,HK243,L04,Nguyễn Tuấn Tuấn
276,CO3109,HK243,L05,Bùi Hữu Trinh
277,CO3109,HK243,L06,Võ Gia Nhi
278,CO3109,HK243,L07,Lê Hoàng Lam
279,CO3109,HK243,L08,Bùi Ngọc Bảo
280,CO3111,HK243,L01,Võ Hữu Mai
281,CO3111,HK243,L02,Nguyễn Hoàng Hùng
282,CO3111,HK243,L03,Bùi Quang Khôi
283,CO3111,HK243,L04,Phạm Gia Anh
284,CO3111,HK243,L05,Đỗ Ngọc Duy
285,CO3111,HK243,L06,Lý Quang Phát
286,CO3111,HK243,L07,Lê Ngọc Nhi
287,CO3111,HK243,L08,Đỗ Hữu Quân
288,CO3115,HK243,L01,Huỳnh Hữu Trinh
289,CO3115,HK243,L02,Lê Hoàng Lam
290,CO3115,HK243,L03,Hồ Minh Nam
291,CO3117,HK243,L01,Vũ Quốc Châu
292,CO3117,HK243,L02,Bùi Anh Trinh
293,CO3117,HK243,L03,Đỗ Hữu Phát
294,CO3117,HK243,L04,Bùi Anh Trinh
295,CO3117,HK243,L05,Nguyễn Quốc Tuấn
296,CO3117,HK243,L06,Phạm Khánh Nam
297,CO3117,HK243,L07,Hồ Anh Quang
298,CO3117,HK243,L08,Lê Hoàng Lam
299,CO3119,HK243,L01,Lê Tuấn Nhi
300,CO3119,HK243,L02,Dương Đức Khôi
301,CO3119,HK243,L03,Lý Hoàng Trinh
302,CO3119,HK243,L04,Nguyễn Ngọc Duy
303,CO3127,HK243,L01,Phạm Khánh Nam
304,CO3127,HK243,L02,Phan Văn Trang
305,CO3127,HK243,L03,Đỗ Thanh Châu
306,CO3127,HK243,L04,Nguyễn Ngọc Hải
307,CO3127,HK243,L05,Lý Đức Anh
308,CO3129,HK243,L01,Đỗ Minh Trang
309,CO3129,HK243,L02,Bùi Anh Hiếu
310,CO3129,HK243,L03,Bùi Ngọc Anh
311,CO3129,HK243,L04,Đặng Quang Hải
312,CO3129,HK243,L05,Lý Hoàng Duy
313,CO3129,HK243,L06,Dương Thị Phúc
314,CO3131,HK243,L01,Trần Minh Hiếu
315,CO3131,HK243,L02,Dương Thị Phúc
316,CO3131,HK243,L03,Đặng Đức Châu
317,CO3131,HK243,L04,Dương Đức Khôi
318,CO3131,HK243,L05,Lý Đức Khôi
319,CO3131,HK243,L06,Lý Đức Anh
320,CO3131,HK243,L07,Phạm Khánh Nam
321,CO3131,HK243,L08,Ngô Quang Châu
322,CO3131,HK243,L09,Bùi Quang Khôi
323,CO3133,HK243,L01,Phạm Ngọc Nam
324,CO3133,HK243,L02,Ngô Thị Yến
325,CO3133,HK243,L03,Huỳnh Anh Nam
326,CO3133,HK243,L04,Trần Tuấn Lam
327,CO3133,HK243,L05,Bùi Anh Trinh
328,CO3133,HK243,L06,Phạm Đức Nhi
329,CO3133,HK243,L07,Bùi Ngọc Anh
330,CO3135,HK243,L01,Đỗ Hữu Quân
331,CO3135,HK243,L02,Đỗ Tuấn Linh
332,CO3135,HK243,L03,Dương Anh An
333,CO3135,HK243,L04,Trần Tuấn Lam
334,CO3135,HK243,L05,Võ Khánh An
335,CO3135,HK243,L06,Võ Phương Khôi
336,CO3135,HK243,L07,Võ Khánh Việt
337,CO3135,HK243,L08,Đỗ Tuấn Linh
338,CO3135,HK243,L09,Đặng Quang Hải
339,CO3137,HK243,L01,Lê Thanh Hải
340,CO3137,HK243,L02,Đặng Gia Hiếu
341,CO3137,HK243,L03,Lý Đức Khôi
342,CO3137,HK243,L04,Lý Đức Anh
343,CO3137,HK243,L05,Nguyễn Ngọc Duy
344,CO3137,HK243,L06,Phan Văn Trang
345,CO3137,HK243,L07,Đặng Quang Hải
346,CO3137,HK243,L08,Võ Khánh An
347,CO3139,HK243,L01,Lê Hoàng Lam
348,CO3139,HK243,L02,Đặng Gia Hiếu
349,CO3139,HK243,L03,Lê Tuấn Nhi
350,CO3139,HK243,L04,Lê Khánh Minh
351,CO3139,HK243,L05,Lê Hoàng Lam
352,CO3151,HK243,L01,Võ Minh Châu
353,CO3151,HK243,L02,Hoàng Quang Hiếu
354,CO3151,HK243,L03,Lý Hoàng Duy
355,CO3151,HK243,L04,Hồ Thị Hiếu
356,CO3151,HK243,L05,Huỳnh Hữu Trinh
357,CO3151,HK243,L06,Hoàng Khánh Long
358,CO3151,HK243,L07,Dương Minh Tuấn
359,CO3153,HK243,L01,Đỗ Anh Minh
360,CO3153,HK243,L02,Đỗ Hữu Phát
361,CO3153,HK243,L03,Bùi Quang Khôi
362,CO3153,HK243,L04,Ngô Quang Châu
363,CO3335,HK243,L01,Dương Đức Khôi
364,CO3335,HK243,L02,Lê Quang Hiếu
365,CO3335,HK243,L03,Dương Minh Tuấn
366,CO3335,HK243,L04,Lê Khánh Yến
367,CO3335,HK243,L05,Đặng Phương Hùng
368,CO3335,HK243,L06,Lý Anh Quân
369,CO3335,HK243,L07,Phạm Đức Nhi
370,CO3335,HK243,L08,Đặng Quang Hải
371,CO4025,HK243,L01,Dương Hữu Bảo
372,CO4025,HK243,L02,Lý Gia Lam
373,CO4025,HK243,L03,Phan Quốc Trinh
374,CO4029,HK243,L01,Nguyễn Ngọc Duy
375,CO4029,HK243,L02,Đỗ Hữu Long
376,CO4029,HK243,L03,Đỗ Văn Uyên
377,CO4031,HK243,L01,Hồ Anh Quang
378,CO4031,HK243,L02,Dương Đức Khôi
379,CO4031,HK243,L03,Lý Khánh Hiếu
380,CO4031,HK243,L04,Lê Tuấn Nhi
381,CO4031,HK243,L05,Lý Khánh Hiếu
382,CO4033,HK243,L01,Đỗ Hữu Long
383,CO4033,HK243,L02,Trần Thị Bảo
384,CO4033,HK243,L03,Hồ Minh Nam
385,CO4033,HK243,L04,Hồ Thị Hiếu
386,CO4033,HK243,L05,Phạm Ngọc Nam
387,CO4033,HK243,L06,Dương Tuấn Tú
388,CO4033,HK243,L07,Lê Anh Thảo
389,CO4033,HK243,L08,Hoàng Thị Hiếu
390,CO4035,HK243,L01,Ngô Thị Yến
391,CO4035,HK243,L02,Đỗ Tuấn Linh
392,CO4035,HK243,L03,Đỗ Hữu Phát
393,CO4035,HK243,L04,Lý Gia Lam
394,CO4037,HK243,L01,Bùi Ngọc Anh
395,CO4037,HK243,L02,Võ Khánh An
396,CO4037,HK243,L03,Phan Quốc Trinh
397,CO4037,HK243,L04,Lê Hoàng Lam
398,CO4037,HK243,L05,Nguyễn Hoàng Hùng
399,CO4039,HK243,L01,Ngô Quốc An
400,CO4039,HK243,L02,Ngô Thanh Lam
401,CO4039,HK243,L03,Lê Quang Hiếu
402,CO4039,HK243,L04,Đặng Quốc Trang
403,CO4039,HK243,L05,Nguyễn Hoàng Hùng
404,CO4039,HK243,L06,Phan Quốc Trinh
405,CO4039,HK243,L07,Phạm Ngọc Nam
406,CO4039,HK243,L08,Hoàng Thị Hiếu
407,CO4337,HK243,L01,Đỗ Văn Uyên
408,CO4337,HK243,L02,Lý Đức Anh
409,CO4337,HK243,L03,Nguyễn Gia Thảo
410,CO4337,HK243,L04,Bùi Hữu Trinh
411,CO4337,HK243,L05,Hồ Khánh Trinh
412,CO4337,HK243,L06,Đỗ Văn Uyên
413,CO4337,HK243,L07,Nguyễn Quốc Tuấn
414,IM1013,HK243,L01,Nguyễn Gia Thảo
415,IM1013,HK243,L02,Nguyễn Quang Tuấn
416,IM1013,HK243,L03,Nguyễn Tuấn Tuấn
417,IM1013,HK243,L04,Dương Tuấn Tú
418,IM1013,HK243,L05,Võ Khánh An
419,IM1013,HK243,L06,Đặng Phương Hùng
420,IM1013,HK243,L07,Lê Đức An
421,IM1013,HK243,L08,Lý Hoàng Trinh
422,IM1023,HK243,L01,Đỗ Tuấn Linh
423,IM1023,HK243,L02,Bùi Quang Khôi
424,IM1023,HK243,L03,Nguyễn Quang Tuấn
425,IM1023,HK243,L04,Đỗ Ngọc Duy
426,IM1023,HK243,L05,Nguyễn Hoàng Hùng
427,IM1023,HK243,L06,Dương Hữu Bảo
428,IM1025,HK243,L01,Đặng Quốc Trang
429,IM1025,HK243,L02,Lê Anh Thảo
430,IM1025,HK243,L03,Dương Thị Phúc
431,IM1025,HK243,L04,Võ Quang Hà
432,IM1025,HK243,L05,Đặng Quốc Trang
433,IM1027,HK243,L01,Lê Thanh Hải
434,IM1027,HK243,L02,Lê Đức Nam
435,IM1027,HK243,L03,Đỗ Minh Trang
436,IM1027,HK243,L04,Phan Văn Trang
437,IM1027,HK243,L05,Lê Đức Nam
438,IM1027,HK243,L06,Nguyễn Quốc Tuấn
439,IM1027,HK243,L07,Nguyễn Thanh Hùng
440,IM3001,HK243,L01,Võ Hữu Mai
441,IM3001,HK243,L02,Bùi Ngọc Anh
442,IM3001,HK243,L03,Huỳnh Ngọc Khôi
443,LA1003,HK243,L01,Nguyễn Quang Tuấn
444,LA1003,HK243,L02,Bùi Minh Minh
445,LA1003,HK243,L03,Hoàng Quang Hiếu
446,LA1003,HK243,L04,Phạm Ngọc Nam
447,LA1003,HK243,L05,Lê Đức Nam
448,LA1003,HK243,L06,Nguyễn Gia Thảo
449,LA1003,HK243,L07,Võ Ngọc Quân
450,LA1003,HK243,L08,Đặng Quang Hải
451,LA1005,HK243,L01,Hoàng Khánh Long
452,LA1005,HK243,L02,Phan Quốc Trinh
453,LA1005,HK243,L03,Bùi Ngọc Anh
454,LA1005,HK243,L04,Ngô Thanh Lam
455,LA1005,HK243,L05,Bùi Ngọc Anh
456,LA1005,HK243,L06,Trần Tuấn Lam
457,LA1005,HK243,L07,Đỗ Minh Trang
458,LA1007,HK243,L01,Phan Văn Trang
459,LA1007,HK243,L02,Lý Đức Anh
460,LA1007,HK243,L03,Dương Quang Hà
461,LA1007,HK243,L04,Lý Hoàng Trinh
462,LA1007,HK243,L05,Bùi Quang Khôi
463,LA1009,HK243,L01,Hoàng Thị Hiếu
464,LA1009,HK243,L02,Đỗ Văn Uyên
465,LA1009,HK243,L03,Đặng Đức Châu
466,LA1009,HK243,L04,Bùi Quang Hà
467,LA1009,HK243,L05,Lý Khánh Hiếu
468,LA1009,HK243,L06,Huỳnh Anh Nam
469,MI1003,HK243,L01,Lý Khánh Hiếu
470,MI1003,HK243,L02,Võ Ngọc Quân
471,MI1003,HK243,L03,Nguyễn Ngọc Hải
472,MI1003,HK243,L04,Dương Minh Tuấn
473,MI1003,HK243,L05,Lý Đức Khôi
474,MI1003,HK243,L06,Hồ Anh Quang
475,MI1003,HK243,L07,Nguyễn Hoàng Hùng
476,MI1003,HK243,L08,Lê Hoàng Lam
477,MT1003,HK243,L01,Vũ Quốc Châu
478,MT1003,HK243,L02,Trần Tuấn Lam
479,MT1003,HK243,L03,Bùi Minh Minh
480,MT1003,HK243,L04,Phan Quốc Trinh
481,MT1005,HK243,L01,Nguyễn Anh Trang
482,MT1005,HK243,L02,Đặng Quốc Trang
483,MT1005,HK243,L03,Đặng Quang Hải
484,MT1005,HK243,L04,Huỳnh Quốc Linh
485,MT1005,HK243,L05,Đỗ Minh Duy
486,MT1005,HK243,L06,Nguyễn Thanh Hùng
487,MT1005,HK243,L07,Dương Hữu Bảo
488,MT1007,HK243,L01,Bùi Ngọc Bảo
489,MT1007,HK243,L02,Ngô Quang Châu
490,MT1007,HK243,L03,Đỗ Thanh Châu
491,MT1007,HK243,L04,Bùi Quang Khôi
492,MT1007,HK243,L05,Bùi Quang Khôi
493,MT1007,HK243,L06,Đỗ Tuấn Linh
494,MT1007,HK243,L07,Hoàng Khánh Long
495,MT2013,HK243,L01,Hoàng Khánh Long
496,MT2013,HK243,L02,Ngô Thanh Lam
497,MT2013,HK243,L03,Trần Tuấn Lam
498,MT2013,HK243,L04,Bùi Minh Minh
499,MT2013,HK243,L05,Đỗ Hữu Long
500,MT2013,HK243,L06,Lê Khánh Yến
501,MT2013,HK243,L07,Hoàng Quang Hiếu
502,PE1003,HK243,L01,Ngô Hữu Duy
503,PE1003,HK243,L02,Đỗ Hữu Long
504,PE1003,HK243,L03,Võ Gia Nhi
505,PE1003,HK243,L04,Lý Hoàng Trinh
506,PE1005,HK243,L01,Đặng Quốc Trang
507,PE1005,HK243,L02,Lý Gia Lam
508,PE1005,HK243,L03,Võ Hữu Mai
509,PE1005,HK243,L04,Hoàng Gia Châu
510,PE1005,HK243,L05,Võ Phương Khôi
511,PE1005,HK243,L06,Bùi Anh Trinh
512,PE1005,HK243,L07,Đặng Đức Châu
513,PE1005,HK243,L08,Nguyễn Ngọc Hải
514,PE1005,HK243,L09,Dương Anh An
515,PH1003,HK243,L01,Huỳnh Quốc Linh
516,PH1003,HK243,L02,Lê Anh Thảo
517,PH1003,HK243,L03,Nguyễn Quốc Tuấn
518,PH1003,HK243,L04,Bùi Quang Khôi
519,PH1007,HK243,L01,Lê Đức Nam
520,PH1007,HK243,L02,Hoàng Khánh Long
521,PH1007,HK243,L03,Đặng Đức Châu
522,PH1007,HK243,L04,Hồ Khánh Trinh
523,PH1007,HK243,L05,Dương Hữu Bảo
524,PH1007,HK243,L06,Lê Quốc Yến
525,SP1007,HK243,L01,Lê Quốc Yến
526,SP1007,HK243,L02,Võ Khánh An
527,SP1007,HK243,L03,Lê Khánh Minh
528,SP1031,HK243,L01,Phạm Hoàng Trinh
529,SP1031,HK243,L02,Bùi Quang Hà
530,SP1031,HK243,L03,Đỗ Tuấn Linh
531,SP1031,HK243,L04,Lê Ngọc Nhi
532,SP1031,HK243,L05,Lê Anh Thảo
