id,course_id,lecturer_name
131_L06_CO3001,CO3001,Nguyễn Gia Thảo
131_L07_CO3001,CO3001,Bùi Hữu Trinh
131_L01_CO3005,CO3005,Lê Quốc Yến
131_L02_CO3005,CO3005,Dương Đức Khôi
131_L03_CO3005,CO3005,Lý Quang Phát
131_L04_CO3005,CO3005,Lê Quang Hiếu
131_L01_CO3011,CO3011,Hồ Khánh Trinh
131_L02_CO3011,CO3011,Huỳnh Phương Long
131_L03_CO3011,CO3011,Huỳnh Phương Long
131_L04_CO3011,CO3011,Đỗ Hữu Phát
131_L05_CO3011,CO3011,Đỗ Văn Uyên
131_L06_CO3011,CO3011,Lê Thanh Hải
131_L07_CO3011,CO3011,Đỗ Thanh Châu
131_L01_CO3013,CO3013,Ngô Hữu Duy
131_L02_CO3013,CO3013,Võ Khánh Việt
131_L03_CO3013,CO3013,Dương Thị Phúc
131_L04_CO3013,CO3013,Đỗ Thanh Châu
131_L05_CO3013,CO3013,Phạm Hoàng Trinh
131_L01_CO3015,CO3015,Đỗ Minh Trang
131_L02_CO3015,CO3015,Nguyễn Ngọc Duy
131_L03_CO3015,CO3015,Hoàng Quang Hiếu
131_L04_CO3015,CO3015,Bùi Hữu Trinh
131_L05_CO3015,CO3015,Nguyễn Ngọc Duy
131_L06_CO3015,CO3015,Ngô Thanh Lam
131_L07_CO3015,CO3015,Phan Văn Trang
131_L08_CO3015,CO3015,Bùi Anh Hiếu
131_L09_CO3015,CO3015,Võ Phương Khôi
131_L10_CO3015,CO3015,Lý Đức Anh
131_L01_CO3017,CO3017,Nguyễn Ngọc Duy
131_L02_CO3017,CO3017,Võ Khánh An
131_L03_CO3017,CO3017,Huỳnh Quốc Linh
131_L04_CO3017,CO3017,Hồ Anh Quang
131_L05_CO3017,CO3017,Bùi Ngọc Anh
131_L06_CO3017,CO3017,Phạm Khánh Nam
131_L07_CO3017,CO3017,Bùi Anh Trinh
131_L08_CO3017,CO3017,Nguyễn Thanh Hùng
131_L09_CO3017,CO3017,Lý Khánh Hiếu
131_L01_CO3021,CO3021,Võ Khánh Việt
131_L02_CO3021,CO3021,Dương Anh An
131_L03_CO3021,CO3021,Lý Đức Anh
131_L01_CO3023,CO3023,Đỗ Hữu Phát
131_L02_CO3023,CO3023,Nguyễn Thanh Hùng
131_L03_CO3023,CO3023,Lý Hoàng Trinh
131_L01_CO3027,CO3027,Ngô Thị Yến
131_L02_CO3027,CO3027,Dương Thị Phúc
131_L03_CO3027,CO3027,Bùi Anh Trinh
131_L04_CO3027,CO3027,Hoàng Quang Hiếu
131_L01_CO3029,CO3029,Dương Anh An
131_L02_CO3029,CO3029,Nguyễn Ngọc Duy
131_L03_CO3029,CO3029,Huỳnh Phương Long
131_L04_CO3029,CO3029,Hoàng Quang Hiếu
131_L01_CO3031,CO3031,Đỗ Minh Duy
131_L02_CO3031,CO3031,Huỳnh Quốc Linh
131_L03_CO3031,CO3031,Nguyễn Ngọc Duy
131_L04_CO3031,CO3031,Bùi Anh Hiếu
131_L05_CO3031,CO3031,Võ Khánh Việt
131_L06_CO3031,CO3031,Vũ Quốc Châu
131_L07_CO3031,CO3031,Lê Khánh Yến
131_L01_CO3033,CO3033,Đặng Gia Hiếu
131_L02_CO3033,CO3033,Bùi Minh Minh
131_L03_CO3033,CO3033,Hồ Thị Hiếu
131_L04_CO3033,CO3033,Bùi Anh Trinh
131_L05_CO3033,CO3033,Đỗ Đức Khang
131_L06_CO3033,CO3033,Dương Tuấn Tú
131_L07_CO3033,CO3033,Phan Văn Trang
131_L08_CO3033,CO3033,Đỗ Văn Uyên
131_L09_CO3033,CO3033,Phạm Hoàng Trinh
131_L10_CO3033,CO3033,Võ Ngọc Lam
131_L01_CO3035,CO3035,Đỗ Minh Duy
131_L02_CO3035,CO3035,Huỳnh Hữu Trinh
131_L03_CO3035,CO3035,Trần Tuấn Lam
131_L04_CO3035,CO3035,Lý Khánh Hiếu
131_L01_CO3037,CO3037,Nguyễn Quang Tuấn
131_L02_CO3037,CO3037,Phạm Hoàng Trinh
131_L03_CO3037,CO3037,Dương Anh Thảo
131_L01_CO3041,CO3041,Đặng Quang Hải
131_L02_CO3041,CO3041,Ngô Thanh Lam
131_L03_CO3041,CO3041,Đỗ Anh Minh
131_L04_CO3041,CO3041,Hoàng Thị Hiếu
131_L05_CO3041,CO3041,Lý Quang Phát
131_L06_CO3041,CO3041,Lê Khánh Yến
131_L07_CO3041,CO3041,Huỳnh Ngọc Khôi
131_L08_CO3041,CO3041,Nguyễn Gia Thảo
131_L09_CO3041,CO3041,Phạm Ngọc Nam
131_L01_CO3043,CO3043,Bùi Ngọc Bảo
131_L02_CO3043,CO3043,Lê Ngọc Nhi
131_L03_CO3043,CO3043,Phan Quốc Trinh
131_L04_CO3043,CO3043,Dương Đức Khôi
131_L05_CO3043,CO3043,Lý Khánh Hiếu
131_L06_CO3043,CO3043,Huỳnh Hữu Trinh
131_L07_CO3043,CO3043,Đỗ Minh Duy
131_L08_CO3043,CO3043,Lê Đức An
131_L09_CO3043,CO3043,Huỳnh Ngọc Khôi
131_L01_CO3045,CO3045,Lý Đức Khôi
131_L02_CO3045,CO3045,Bùi Anh Hiếu
131_L03_CO3045,CO3045,Lê Quang Hiếu
131_L04_CO3045,CO3045,Nguyễn Gia Thảo
131_L05_CO3045,CO3045,Võ Khánh An
131_L06_CO3045,CO3045,Trần Minh Hiếu
131_L01_CO3047,CO3047,Dương Thị Phúc
131_L02_CO3047,CO3047,Phạm Gia Anh
131_L03_CO3047,CO3047,Lý Hoàng Duy
131_L04_CO3047,CO3047,Hồ Thị Hiếu
131_L05_CO3047,CO3047,Lê Đức An
131_L06_CO3047,CO3047,Võ Ngọc Quân
131_L07_CO3047,CO3047,Dương Minh Tuấn
131_L08_CO3047,CO3047,Hoàng Thị Hiếu
131_L01_CO3049,CO3049,Bùi Ngọc Anh
131_L02_CO3049,CO3049,Võ Khánh Việt
131_L03_CO3049,CO3049,Võ Ngọc Lam
131_L04_CO3049,CO3049,Võ Minh Châu
131_L05_CO3049,CO3049,Dương Anh An
131_L06_CO3049,CO3049,Phan Quốc Trinh
131_L07_CO3049,CO3049,Lê Hoàng Lam
131_L01_CO3051,CO3051,Hồ Thị Hiếu
131_L02_CO3051,CO3051,Đỗ Minh Trang
131_L03_CO3051,CO3051,Trần Minh Hiếu
131_L04_CO3051,CO3051,Lê Tuấn Nhi
131_L05_CO3051,CO3051,Vũ Quốc Châu
131_L06_CO3051,CO3051,Hồ Thị Hiếu
131_L07_CO3051,CO3051,Đỗ Tuấn Linh
131_L08_CO3051,CO3051,Lê Đức An
131_L09_CO3051,CO3051,Bùi Quang Hà
131_L10_CO3051,CO3051,Lý Đức Khôi
131_L01_CO3057,CO3057,Ngô Thanh Lam
131_L02_CO3057,CO3057,Bùi Ngọc Bảo
131_L03_CO3057,CO3057,Lý Đức Khôi
131_L04_CO3057,CO3057,Hồ Khánh Trinh
131_L05_CO3057,CO3057,Nguyễn Ngọc Duy
131_L06_CO3057,CO3057,Lê Thanh Hải
131_L07_CO3057,CO3057,Bùi Anh Hiếu
131_L08_CO3057,CO3057,Dương Hữu Bảo
131_L09_CO3057,CO3057,Bùi Anh Trinh
131_L01_CO3059,CO3059,Võ Quang Hà
131_L02_CO3059,CO3059,Võ Minh Châu
131_L03_CO3059,CO3059,Nguyễn Ngọc Duy
131_L04_CO3059,CO3059,Lý Anh Quân
131_L05_CO3059,CO3059,Lê Quang Hiếu
131_L06_CO3059,CO3059,Lý Khánh Hiếu
131_L07_CO3059,CO3059,Ngô Thanh Lam
131_L08_CO3059,CO3059,Võ Hữu Mai
131_L09_CO3059,CO3059,Đặng Quang Hải
131_L01_CO3061,CO3061,Ngô Thị Yến
131_L02_CO3061,CO3061,Nguyễn Ngọc Hải
131_L03_CO3061,CO3061,Nguyễn Thanh Hùng
131_L01_CO3065,CO3065,Lê Ngọc Nhi
131_L02_CO3065,CO3065,Phạm Khánh Nam
131_L03_CO3065,CO3065,Võ Gia Nhi
131_L04_CO3065,CO3065,Lê Quang Hiếu
131_L05_CO3065,CO3065,Nguyễn Quốc Tuấn
131_L06_CO3065,CO3065,Trần Tuấn Lam
131_L07_CO3065,CO3065,Võ Hữu Mai
131_L08_CO3065,CO3065,Dương Anh Thảo
131_L09_CO3065,CO3065,Hồ Minh Nam
131_L01_CO3067,CO3067,Bùi Ngọc Anh
131_L02_CO3067,CO3067,Phạm Hoàng Trinh
131_L03_CO3067,CO3067,Huỳnh Phương Long
131_L04_CO3067,CO3067,Võ Minh Châu
131_L05_CO3067,CO3067,Trần Thị Bảo
131_L01_CO3069,CO3069,Đỗ Tuấn Linh
131_L02_CO3069,CO3069,Trần Tuấn Lam
131_L03_CO3069,CO3069,Hoàng Gia Châu
131_L04_CO3069,CO3069,Bùi Anh Trinh
131_L01_CO3071,CO3071,Lê Khánh Yến
131_L02_CO3071,CO3071,Lê Khánh Yến
131_L03_CO3071,CO3071,Phạm Gia Anh
131_L01_CO3083,CO3083,Lê Đức Nam
131_L02_CO3083,CO3083,Lê Quang Hiếu
131_L03_CO3083,CO3083,Huỳnh Anh Nam
131_L04_CO3083,CO3083,Đỗ Đức Khang
131_L05_CO3083,CO3083,Đặng Phương Hùng
131_L06_CO3083,CO3083,Hồ Khánh Trinh
131_L01_CO3085,CO3085,Đỗ Hữu Quân
131_L02_CO3085,CO3085,Bùi Ngọc Anh
131_L03_CO3085,CO3085,Lê Khánh Yến
131_L04_CO3085,CO3085,Đặng Đức Châu
131_L05_CO3085,CO3085,Hoàng Khánh Long
131_L06_CO3085,CO3085,Nguyễn Quang Tuấn
131_L01_CO3089,CO3089,Lê Thanh Hải
131_L02_CO3089,CO3089,Lê Hoàng Lam
131_L03_CO3089,CO3089,Đỗ Hữu Phát
131_L04_CO3089,CO3089,Huỳnh Hữu Trinh
131_L05_CO3089,CO3089,Lê Quốc Yến
131_L06_CO3089,CO3089,Võ Phương Khôi
131_L07_CO3089,CO3089,Hoàng Quang Hiếu
131_L08_CO3089,CO3089,Lê Quốc Yến
131_L01_CO3093,CO3093,Lê Ngọc Nhi
131_L02_CO3093,CO3093,Đặng Gia Hiếu
131_L03_CO3093,CO3093,Đặng Đức Châu
131_L04_CO3093,CO3093,Võ Quang Hà
131_L01_CO3101,CO3101,Lý Hoàng Trinh
131_L02_CO3101,CO3101,Bùi Anh Hiếu
131_L03_CO3101,CO3101,Lý Anh Quân
131_L04_CO3101,CO3101,Võ Ngọc Lam
131_L05_CO3101,CO3101,Phạm Ngọc Nam
131_L06_CO3101,CO3101,Hồ Khánh Phúc
131_L07_CO3101,CO3101,Lê Đức Nam
131_L01_CO3103,CO3103,Lê Hoàng Lam
131_L02_CO3103,CO3103,Đặng Quốc Trang
131_L03_CO3103,CO3103,Lý Quang Phát
131_L04_CO3103,CO3103,Hoàng Thị Hiếu
131_L05_CO3103,CO3103,Bùi Minh Minh
131_L06_CO3103,CO3103,Hoàng Thị Hiếu
131_L07_CO3103,CO3103,Võ Khánh An
131_L08_CO3103,CO3103,Trần Thị Bảo
131_L09_CO3103,CO3103,Võ Ngọc Lam
131_L10_CO3103,CO3103,Phạm Hoàng Trinh
131_L01_CO3105,CO3105,Lý Hoàng Duy
131_L02_CO3105,CO3105,Lê Tuấn Nhi
131_L03_CO3105,CO3105,Vũ Quốc Châu
131_L04_CO3105,CO3105,Lê Khánh Minh
131_L05_CO3105,CO3105,Lê Khánh Minh
131_L06_CO3105,CO3105,Võ Quang Hà
131_L07_CO3105,CO3105,Đỗ Văn Uyên
131_L08_CO3105,CO3105,Nguyễn Thanh Hùng
131_L09_CO3105,CO3105,Lý Hoàng Duy
131_L01_CO3107,CO3107,Lê Hoàng Lam
131_L02_CO3107,CO3107,Nguyễn Quốc Tuấn
131_L03_CO3107,CO3107,Hồ Thị Hiếu
131_L04_CO3107,CO3107,Hoàng Quang Hiếu
131_L05_CO3107,CO3107,Hồ Thị Hiếu
131_L06_CO3107,CO3107,Phạm Đức Nhi
131_L01_CO3109,CO3109,Hoàng Khánh Long
131_L02_CO3109,CO3109,Đặng Phương Hùng
131_L03_CO3109,CO3109,Đặng Đức Châu
131_L04_CO3109,CO3109,Lê Quang Hiếu
131_L01_CO3111,CO3111,Hồ Thị Hiếu
131_L02_CO3111,CO3111,Đỗ Hữu Long
131_L03_CO3111,CO3111,Huỳnh Ngọc Khôi
131_L04_CO3111,CO3111,Võ Minh Châu
131_L05_CO3111,CO3111,Nguyễn Ngọc Duy
131_L06_CO3111,CO3111,Đỗ Đức Khang
131_L01_CO3115,CO3115,Bùi Minh Minh
131_L02_CO3115,CO3115,Dương Anh Thảo
131_L03_CO3115,CO3115,Lê Khánh Minh
131_L04_CO3115,CO3115,Lê Thanh Hải
131_L05_CO3115,CO3115,Lý Gia Lam
131_L06_CO3115,CO3115,Dương Anh Thảo
131_L07_CO3115,CO3115,Đỗ Minh Duy
131_L01_CO3117,CO3117,Ngô Quang Châu
131_L02_CO3117,CO3117,Đỗ Ngọc Duy
131_L03_CO3117,CO3117,Lê Ngọc Nhi
131_L04_CO3117,CO3117,Bùi Anh Hiếu
131_L05_CO3117,CO3117,Lý Đức Khôi
131_L06_CO3117,CO3117,Đặng Gia Hiếu
131_L07_CO3117,CO3117,Hồ Anh Quang
131_L08_CO3117,CO3117,Nguyễn Ngọc Duy
131_L09_CO3117,CO3117,Nguyễn Gia Thảo
131_L10_CO3117,CO3117,Võ Minh Châu
131_L01_CO3119,CO3119,Lê Anh Thảo
131_L02_CO3119,CO3119,Dương Hữu Bảo
131_L03_CO3119,CO3119,Võ Phương Khôi
131_L04_CO3119,CO3119,Lê Đức An
131_L05_CO3119,CO3119,Huỳnh Phương Long
131_L06_CO3119,CO3119,Đỗ Đức Khang
131_L01_CO3127,CO3127,Đặng Phương Hùng
131_L02_CO3127,CO3127,Lê Tuấn Nhi
131_L03_CO3127,CO3127,Dương Đức Khôi
131_L04_CO3127,CO3127,Bùi Anh Trinh
131_L01_CO3129,CO3129,Hoàng Gia Châu
131_L02_CO3129,CO3129,Nguyễn Tuấn Tuấn
131_L03_CO3129,CO3129,Hồ Anh Quang
131_L04_CO3129,CO3129,Dương Anh Thảo
131_L05_CO3129,CO3129,Trần Minh Hiếu
131_L06_CO3129,CO3129,Bùi Quang Khôi
131_L07_CO3129,CO3129,Võ Minh Châu
131_L01_CO3131,CO3131,Nguyễn Quốc Tuấn
131_L02_CO3131,CO3131,Đỗ Đức Khang
131_L03_CO3131,CO3131,Trần Thị Bảo
131_L04_CO3131,CO3131,Nguyễn Thanh Hùng
131_L05_CO3131,CO3131,Nguyễn Hoàng Hùng
131_L06_CO3131,CO3131,Đặng Đức Châu
131_L01_CO3133,CO3133,Lê Đức Nam
131_L02_CO3133,CO3133,Phạm Ngọc Nam
131_L03_CO3133,CO3133,Huỳnh Ngọc Khôi
131_L01_CO3135,CO3135,Nguyễn Gia Thảo
131_L02_CO3135,CO3135,Nguyễn Thanh Hùng
131_L03_CO3135,CO3135,Lý Anh Quân
131_L04_CO3135,CO3135,Huỳnh Phương Long
131_L05_CO3135,CO3135,Trần Tuấn Lam
131_L06_CO3135,CO3135,Phạm Khánh Nam
131_L07_CO3135,CO3135,Đỗ Tuấn Linh
131_L01_CO3137,CO3137,Nguyễn Thanh Hùng
131_L02_CO3137,CO3137,Hoàng Gia Châu
131_L03_CO3137,CO3137,Lê Anh Thảo
131_L04_CO3137,CO3137,Đỗ Tuấn Linh
131_L05_CO3137,CO3137,Phạm Gia Anh
131_L06_CO3137,CO3137,Hồ Thị Hiếu
131_L07_CO3137,CO3137,Lê Quang Hiếu
131_L08_CO3137,CO3137,Huỳnh Quốc Linh
131_L01_CO3139,CO3139,Lê Tuấn Nhi
131_L02_CO3139,CO3139,Võ Gia Nhi
131_L03_CO3139,CO3139,Phạm Khánh Nam
131_L04_CO3139,CO3139,Lý Anh Quân
131_L05_CO3139,CO3139,Võ Quang Hà
131_L06_CO3139,CO3139,Hồ Anh Quang
131_L07_CO3139,CO3139,Võ Hữu Mai
131_L08_CO3139,CO3139,Dương Anh Thảo
131_L09_CO3139,CO3139,Nguyễn Thanh Hùng
131_L01_CO3151,CO3151,Lê Quốc Yến
131_L02_CO3151,CO3151,Lê Khánh Minh
131_L03_CO3151,CO3151,Đặng Quang Hải
131_L04_CO3151,CO3151,Lý Khánh Hiếu
131_L01_CO3153,CO3153,Đặng Quốc Trang
131_L02_CO3153,CO3153,Lê Quang Hiếu
131_L03_CO3153,CO3153,Dương Tuấn Tú
131_L04_CO3153,CO3153,Đỗ Hữu Long
131_L01_CO3335,CO3335,Vũ Ngọc Linh
131_L02_CO3335,CO3335,Bùi Quang Khôi
131_L03_CO3335,CO3335,Lê Ngọc Nhi
131_L04_CO3335,CO3335,Ngô Quốc An
131_L05_CO3335,CO3335,Võ Gia Nhi
131_L06_CO3335,CO3335,Đặng Gia Hiếu
131_L07_CO3335,CO3335,Đặng Quang Hải
131_L08_CO3335,CO3335,Đặng Quang Hải
131_L01_CO4025,CO4025,Lý Khánh Hiếu
131_L02_CO4025,CO4025,Ngô Thị Yến
131_L03_CO4025,CO4025,Lê Đức Nam
131_L04_CO4025,CO4025,Lê Khánh Minh
131_L05_CO4025,CO4025,Bùi Anh Trinh
131_L06_CO4025,CO4025,Đỗ Đức Khang
131_L01_CO4029,CO4029,Hoàng Quang Hiếu
131_L02_CO4029,CO4029,Lê Đức Nam
131_L03_CO4029,CO4029,Đặng Phương Hùng
131_L04_CO4029,CO4029,Võ Gia Nhi
131_L05_CO4029,CO4029,Đặng Phương Hùng
131_L06_CO4029,CO4029,Dương Quang Hà
131_L07_CO4029,CO4029,Dương Hữu Bảo
131_L08_CO4029,CO4029,Lý Anh Quân
131_L09_CO4029,CO4029,Nguyễn Ngọc Duy
131_L10_CO4029,CO4029,Bùi Quang Hà
131_L01_CO4031,CO4031,Lê Tuấn Nhi
131_L02_CO4031,CO4031,Hoàng Quang Hiếu
131_L03_CO4031,CO4031,Bùi Minh Minh
131_L04_CO4031,CO4031,Đỗ Anh Minh
131_L05_CO4031,CO4031,Võ Minh Châu
131_L06_CO4031,CO4031,Trần Tuấn Lam
131_L07_CO4031,CO4031,Lê Đức An
131_L08_CO4031,CO4031,Lê Khánh Minh
131_L09_CO4031,CO4031,Lý Khánh Hiếu
131_L01_CO4033,CO4033,Dương Anh Thảo
131_L02_CO4033,CO4033,Võ Khánh Việt
131_L03_CO4033,CO4033,Huỳnh Anh Nam
131_L04_CO4033,CO4033,Huỳnh Ngọc Khôi
131_L01_CO4035,CO4035,Lê Đức An
131_L02_CO4035,CO4035,Hồ Thị Hiếu
131_L03_CO4035,CO4035,Ngô Quốc An
131_L04_CO4035,CO4035,Đỗ Hữu Quân
131_L05_CO4035,CO4035,Hồ Khánh Phúc
131_L06_CO4035,CO4035,Võ Khánh Việt
131_L07_CO4035,CO4035,Lý Đức Anh
131_L01_CO4037,CO4037,Võ Khánh Việt
131_L02_CO4037,CO4037,Võ Minh Châu
131_L03_CO4037,CO4037,Bùi Minh Minh
131_L04_CO4037,CO4037,Dương Minh Tuấn
131_L01_CO4039,CO4039,Huỳnh Hữu Trinh
131_L02_CO4039,CO4039,Hoàng Thị Hiếu
131_L03_CO4039,CO4039,Đỗ Đức Khang
131_L04_CO4039,CO4039,Lê Đức Nam
131_L05_CO4039,CO4039,Đặng Quốc Trang
131_L06_CO4039,CO4039,Lê Khánh Yến
131_L07_CO4039,CO4039,Bùi Quang Hà
131_L01_CO4337,CO4337,Dương Minh Tuấn
131_L02_CO4337,CO4337,Võ Quang Hà
131_L03_CO4337,CO4337,Huỳnh Quốc Linh
131_L04_CO4337,CO4337,Lê Khánh Yến
131_L05_CO4337,CO4337,Võ Phương Khôi
131_L01_IM1013,IM1013,Huỳnh Phương Long
131_L02_IM1013,IM1013,Nguyễn Anh Trang
131_L03_IM1013,IM1013,Đỗ Đức Khang
131_L04_IM1013,IM1013,Võ Khánh An
131_L05_IM1013,IM1013,Võ Khánh An
131_L01_IM1023,IM1023,Trần Minh Hiếu
131_L02_IM1023,IM1023,Phạm Khánh Nam
131_L03_IM1023,IM1023,Bùi Hữu Trinh
131_L04_IM1023,IM1023,Lê Khánh Yến
131_L05_IM1023,IM1023,Đỗ Hữu Quân
131_L06_IM1023,IM1023,Hoàng Gia Châu
131_L07_IM1023,IM1023,Hoàng Khánh Long
131_L08_IM1023,IM1023,Huỳnh Hữu Trinh
131_L09_IM1023,IM1023,Lý Hoàng Trinh
131_L01_IM1025,IM1025,Võ Quang Hà
131_L02_IM1025,IM1025,Nguyễn Tuấn Tuấn
131_L03_IM1025,IM1025,Đặng Phương Hùng
131_L04_IM1025,IM1025,Đỗ Hữu Long
131_L05_IM1025,IM1025,Ngô Hữu Duy
131_L06_IM1025,IM1025,Bùi Quang Hà
131_L07_IM1025,IM1025,Dương Thị Phúc
131_L08_IM1025,IM1025,Bùi Quang Khôi
131_L09_IM1025,IM1025,Phan Quốc Trinh
131_L10_IM1025,IM1025,Lê Khánh Minh
131_L01_IM1027,IM1027,Bùi Quang Hà
131_L02_IM1027,IM1027,Phạm Hoàng Trinh
131_L03_IM1027,IM1027,Dương Tuấn Tú
131_L04_IM1027,IM1027,Huỳnh Phương Long
131_L05_IM1027,IM1027,Bùi Anh Trinh
131_L01_IM3001,IM3001,Võ Minh Châu
131_L02_IM3001,IM3001,Lý Hoàng Duy
131_L03_IM3001,IM3001,Lý Quang Phát
131_L04_IM3001,IM3001,Huỳnh Hữu Trinh
131_L05_IM3001,IM3001,Dương Đức Khôi
131_L06_IM3001,IM3001,Lê Tuấn Nhi
131_L07_IM3001,IM3001,Phạm Gia Anh
131_L08_IM3001,IM3001,Lê Anh Thảo
131_L09_IM3001,IM3001,Phạm Ngọc Nam
131_L01_LA1003,LA1003,Đỗ Hữu Phát
131_L02_LA1003,LA1003,Võ Ngọc Lam
131_L03_LA1003,LA1003,Võ Khánh Việt
131_L04_LA1003,LA1003,Võ Minh Châu
131_L05_LA1003,LA1003,Trần Minh Hiếu
131_L06_LA1003,LA1003,Hoàng Quang Hiếu
131_L07_LA1003,LA1003,Đỗ Hữu Phát
131_L08_LA1003,LA1003,Trần Tuấn Lam
131_L09_LA1003,LA1003,Hồ Thị Hiếu
131_L01_LA1005,LA1005,Lý Hoàng Duy
131_L02_LA1005,LA1005,Hồ Minh Nam
131_L03_LA1005,LA1005,Dương Quang Hà
131_L04_LA1005,LA1005,Đỗ Anh Minh
131_L01_LA1007,LA1007,Nguyễn Ngọc Hải
131_L02_LA1007,LA1007,Võ Hữu Mai
131_L03_LA1007,LA1007,Đỗ Minh Duy
131_L04_LA1007,LA1007,Dương Anh An
131_L05_LA1007,LA1007,Đỗ Minh Trang
131_L01_LA1009,LA1009,Lý Anh Quân
131_L02_LA1009,LA1009,Đặng Gia Hiếu
131_L03_LA1009,LA1009,Hoàng Quang Hiếu
131_L04_LA1009,LA1009,Trần Thị Bảo
131_L05_LA1009,LA1009,Lý Hoàng Duy
131_L06_LA1009,LA1009,Nguyễn Thanh Hùng
131_L07_LA1009,LA1009,Hoàng Thị Hiếu
131_L08_LA1009,LA1009,Dương Thị Phúc
131_L09_LA1009,LA1009,Đỗ Hữu Long
